Location,5/1/2020,5/2/2020,Location (New Added),5/5/2020,Location (New Added),5/6/2020,Location (New Added),5/7/2020,Location (New Added),5/8/2020,Location (New Added),5/9/2020,Location (New Added),5/10/2020,Location (New Added),5/11/2020,Location (New Added),5/12/2020,Location (New Added),5/14/2020,Location (New Added),5/15/2020,Location (New Added),5/16/2020,Location (New Added),5/17/2020,Location (New Added),5/18/2020,Location (New Added),5/19/2020
Kutubkhali,6,6,Khilkhet,4,Khilkhet,4,Khilkhet,4,Koltabazar,1,Khilkhet,4,Khilgaon,69,Khilgaon,69,Khilgaon,75,Khilgaon,78,Kochukhet,3,Kochukhet,3,Kawran Bazar,15,,,,
Kuril,2,2,Koltabazar,1,Koltabazar,1,Koltabazar,1,Kodomtoli,10,Koltabazar,1,Khilkhet,5,Khilkhet,5,Khilkhet,5,Khilkhet,5,Khilgaon,80,Khilgaon,84,Koratitola,1,,,,
Lalbagh,78,78,Kodomtoli,9,Kodomtoli,10,Kodomtoli,10,Kotowali,15,Kodomtoli,10,Koltabazar,1,Koltabazar,1,Koltabazar,1,Koltabazar,1,Khilkhet,5,Khilkhet,5,Kosaituli,1,,,,
Laxmibazar,12,12,Kotowali,11,Kotowali,14,Kotowali,14,Kutubkhali,6,Kotowali,18,Kodomtoli,10,Kodomtoli,10,Kodomtoli,10,Kodomtoli,10,Koltabazar,1,Koltabazar,1,Kochukhet,4,,,,
Madartek,3,3,Kutubkhali,6,Kutubkhali,6,Kutubkhali,6,Kuril,4,Kutubkhali,6,Kotowali,18,Kotowali,23,Kotowali,26,Kotowali,27,Kodomtoli,10,Kodomtoli,10,Khilgaon,86,,,,
Malitola,4,4,Kuril,2,Kuril,2,Kuril,4,Lalmatia,5,Kuril,4,Kutubkhali,6,Kutubkhali,6,Kutubkhali,6,Kutubkhali,6,Kotowali,27,Kotowali,27,Khilkhet,5,,,,
Malibagh,58,62,Lalmatia,3,Lalmatia,3,Lalmatia,3,Lalbagh,98,Lalmatia,5,Kuril,4,Kuril,4,Kuril,4,Kuril,4,Kutubkhali,6,Kutubkhali,6,Koltabazar,1,,,,
Matikata,4,4,Lalbagh,89,Lalbagh,93,Lalbagh,97,Laxmibazar,18,Lalbagh,106,Lalmatia,21,Lalmatia,24,Lalmatia,24,Lalmatia,28,Kuril,4,Kuril,4,Kodomtoli,10,,,,
Manda,11,15,Laxmibazar,18,Laxmibazar,18,Laxmibazar,18,Madartek,5,Laxmibazar,18,Lalbagh,108,Lalbagh,112,Lalbagh,116,Lalbagh,116,Lalmatia,29,Lalmatia,30,Kotowali,27,,,,
Maniknagar,5,5,Madartek,3,Madartek,5,Madartek,5,Malitola,4,Madartek,7,Laxmibazar,18,Laxmibazar,18,Laxmibazar,19,Laxmibazar,19,Lalbagh,117,Lalbagh,117,Kutubkhali,6,,,,
Manikdi,1,1,Malitola,4,Malitola,4,Malitola,4,Malibagh,83,Malitola,4,Madartek,7,Madartek,7,Madartek,7,Madartek,7,Laxmibazar,19,Laxmibazar,19,Kuril,4,,,,
Matuail,5,5,Malibagh,78,Malibagh,82,Malibagh,83,Matikata,4,Malibagh,83,Malitola,4,Malitola,4,Malitola,4,Malitola,4,Madartek,7,Madartek,7,Lalmatia,31,,,,
Meradia,3,5,Matikata,4,Matikata,4,Matikata,4,Manda,26,Matikata,4,Malibagh,84,Malibagh,85,Malibagh,89,Malibagh,93,Malitola,4,Malitola,4,Lalbagh,122,,,,
Mirhajaribagh,5,5,Manda,23,Manda,26,Manda,26,Maniknagar,23,Manda,26,Matikata,4,Matikata,4,Matikata,4,Matikata,4,Malibagh,93,Malibagh,101,Laxmibazar,19,,,,
Mirpur-1,32,32,Maniknagar,22,Maniknagar,22,Maniknagar,22,Manikdi,1,Maniknagar,23,Manda,29,Manda,30,Manda,30,Manda,30,Matikata,4,Matikata,4,Madartek,7,,,,
Mirpur-2,2,2,Manikdi,1,Manikdi,1,Manikdi,1,Matuail,5,Manikdi,1,Maniknagar,25,Maniknagar,26,Maniknagar,26,Maniknagar,28,Manda,30,Manda,30,Malitola,4,,,,
Mirpur-6,7,9,Matuail,5,Matuail,5,Matuail,5,Meradia,7,Matuail,6,Manikdi,1,Manikdi,1,Manikdi,1,Manikdi,1,Maniknagar,33,Maniknagar,33,Malibagh,114,,,,
Mirpur-10,18,18,Meradia,5,Meradia,6,Meradia,6,Mirhajaribagh,5,Meradia,7,Matuail,6,Matuail,7,Matuail,8,Matuail,8,Manikdi,1,Manikdi,1,Matikata,5,,,,
Mirpur-11,31,32,Mirhajaribagh,5,Mirhajaribagh,5,Mirhajaribagh,5,Mirpur-1,36,Mirhajaribagh,5,Meradia,7,Meradia,8,Meradia,8,Meradia,8,Matuail,8,Matuail,8,Manda,31,,,,
Mirpur-12,18,18,Mirpur-1,33,Mirpur-1,34,Mirpur-1,35,Mirpur-2,9,Mirpur-1,40,Mirhajaribagh,5,Mirhajaribagh,5,Mirhajaribagh,5,Mirhajaribagh,5,Meradia,8,Meradia,8,Maniknagar,35,,,,
Mirpur-13,3,3,Mirpur-2,7,Mirpur-2,8,Mirpur-2,8,Mirpur-6,12,Mirpur-2,9,Mirpur-1,41,Mirpur-1,43,Mirpur-1,45,Mirpur-1,47,Mintu Road,5,Mintu Road,5,Manikdi,1,,,,
Mirpur-14,37,37,Mirpur-6,9,Mirpur-6,11,Mirpur-6,11,Mirpur-10,19,Mirpur-6,12,Mirpur-2,10,Mirpur-2,11,Mirpur-2,11,Mirpur-2,11,Mirhajaribagh,5,Mirhajaribagh,5,Matuail,8,,,,
Mitford,38,38,Mirpur-10,19,Mirpur-10,19,Mirpur-10,19,Mirpur-11,38,Mirpur-10,19,Mirpur-6,12,Mirpur-6,12,Mirpur-6,12,Mirpur-6,12,Mirpur-1,48,Mirpur-1,53,Merul,1,,,,
Mogbazar,43,43,Mirpur-11,33,Mirpur-11,35,Mirpur-11,38,Mirpur-12,19,Mirpur-11,40,Mirpur-10,19,Mirpur-10,20,Mirpur-10,20,Mirpur-10,24,Mirpur-2,11,Mirpur-2,14,Meradia,8,,,,
Monipur,1,1,Mirpur-12,19,Mirpur-12,19,Mirpur-12,19,Mirpur-13,5,Mirpur-12,19,Mirpur-11,42,Mirpur-11,44,Mirpur-11,44,Mirpur-11,47,Mirpur-6,12,Mirpur-6,12,Mintu Road,5,,,,
